Administrator,Access Type,Notes,Use Type,lake_id
Unknown,Other,PORTAGE TRAIL FROM PINE LAKE.,Unknown,16006400
Unknown,Other,In BWCAW and has no portage trails to it. Must bushwhack from Shelf of Lake.,Unknown,16006600
Unknown,Other,None-In BWCA and has no portage trails to it.,Unknown,16006700
DNR,Carry-In,,Open to Public use,16007000
US Forest Service,Carry-In,USFS carry-in access on north shore; off F.R. 313. Parking available for four vehicles.,Open to Public use,16007100
Unknown,Other,Accessible via winter logging road 1/4 mile N from F.R. 313 ~Carrot L. Rd~.,Unknown,16007300
US Forest Service,Portage,,Open to Public use,16007600
US Forest Service,Carry-In,,Open to Public use,16007600
DNR,Concrete,,Open to Public use,16007700
US Forest Service,Portage,"Trail ends at beaver pond, usually navigable to lake",Open to Public use,16007800
US Forest Service,Carry-In,,Open to Public use,16007900
US Forest Service,Portage,,Open to Public use,16007900
US Forest Service,Carry-In,,Open to Public use,16008000
US Forest Service,Carry-In,Game trail from USFS 1386 (Shoe Lake Rd.) to NE corner of lake.,Unknown,16008100
US Forest Service,Portage,,Fee/Permit needed,16008300
Unknown,Other,Accessible via 2 portages - 0.2 mile from Mountain lake and the other is 0.15 mile from Vaseux Lake.,Unknown,16008400
DNR,Carry-In,,Open to Public use,16008500
US Forest Service,Carry-In,Portage trails from Pine; Clearwater; East Pike; and Gogebic Lakes. Entirely inside the BWCAW.,Unknown,16008600
DNR,Portage,,Fee/Permit needed,16008700
US Forest Service,Other,1/8 mile W from FR 1386 to Assinika Cr.; paddle upstream 1/8 mile and portage along lake outlet channel.,Unknown,16008800
DNR,Earthen,,Open to Public use,16008900
US Forest Service,Carry-In,,Fee/Permit needed,16009000
US Forest Service,Portage,,Fee/Permit needed,16009100
US Forest Service,Carry-In,,Open to Public use,16009200
US Forest Service,Portage,,Fee/Permit needed,16009300
Canadian,Gravel,,Open to Public use,16009300
US Forest Service,Carry-In,,Open to Public use,16009400
DNR,Concrete,,Open to Public use,16009600
US Forest Service,Carry-In,,Open to Public use,16009700
US Forest Service,Carry-In,,Open to Public use,16009700
US Forest Service,Carry-In,,Open to Public use,16009800
Unknown,Other,A logging road from Forestry Road 309 provides access to the NW shore.,Unknown,16010200
US Forest Service,Carry-In,,Open to Public use,16010300
US Forest Service,Carry-In,,Open to Public use,16010400
US Forest Service,Portage,,Open to Public use,16010500
DNR,Carry-In,,Open to Public use,16010700
US Forest Service,Carry-In,,Open to Public use,16010800
Unknown,Other,Logging road from Pine Mountain Road.,Unknown,16011000
US Forest Service,Carry-In,22-rod portage from Alder Lake. Lake is entirely inside the BWCAW; and is a non-motorized water as of 1999.,Unknown,16011200
Unknown,Other,Accessible via 0.1 mile inlet channel from Canoe Lake.,Unknown,16011300
US Forest Service,Portage,,Fee/Permit needed,16011400
Unknown,Other,Accessible via 0.4 mile unmarked portage trail from Alder Lake.,Unknown,16011500
US Forest Service,Portage,,Fee/Permit needed,16011700
US Forest Service,Portage,,Open to Public use,16011800
US Forest Service,Portage,,Fee/Permit needed,16011900
US Forest Service,Portage,,Fee/Permit needed,16011900
Unknown,Other,NONE,Unknown,16012000
US Forest Service,Portage,,Open to Public use,16012300
US Forest Service,Carry-In,,Open to Public use,16012800
US Forest Service,Carry-In,,Unknown,16013000
Unknown,Other,NONE,Unknown,16013100
US Forest Service,Carry-In,This area was recently declared non-motorized. Road may be posted closed or blocked (it was open in October 2006).,Open to Public use,16013200
US Forest Service,Portage,,Open to Public use,16013300
US Forest Service,Carry-In,1.5 mile trail across USFS lands off FR 144.,Unknown,16013500
Unknown,Other,ONTARIO-MINNESOTA BORDER WATER WITH MN PORTION ENTIRELY WITHIN THE BWCAW.,Unknown,16013700
US Forest Service,Portage,,Fee/Permit needed,16013800
US Forest Service,Gravel,,Open to Public use,16013900
US Forest Service,Carry-In,Lake is entirely inside the BWCAW. Access by portage trails from Clearwater; Pine; and Moon Lakes.,Unknown,16014100
US Forest Service,Carry-In,365-ft portage trail from Caribou Lake; and a portage trail from Pine Lake. Lies entirely inside the BWCAW.,Unknown,16014200
DNR,Carry-In,,Open to Public use,16014300
DNR,Concrete,,Open to Public use,16014300
Unknown,Other,Poor by canoe-1 mile E from Forest Route 152,Unknown,16014400
DNR,Gravel,Steep gravel launch on west shore. Parking available for six vehicles with small camping area.,Open to Public use,16014500
US Forest Service,Gravel,,Open to Public use,16014600
US Forest Service,Concrete,,Open to Public use,16014700
US Forest Service,Portage,Portage trail from East Bearskin Lake.,Open to Public use,16014700
US Forest Service,Portage,Portage trail from Rudy Lake.,Open to Public use,16014700
US Forest Service,Portage,Portage trail from Moon Lake.,Open to Public use,16014700
US Forest Service,Portage,,Open to Public use,16014800
US Forest Service,Portage,,Open to Public use,16014800
Unknown,Other,Accessible by hiking 0.4 mi. E through woods from Brule River.,Unknown,16014900
US Forest Service,Carry-In,,Fee/Permit needed,16015000
US Forest Service,Carry-In,,Fee/Permit needed,16015000
US Forest Service,Carry-In,Short carry off North Shore State Trail (snowmobile trail; no vehicular traffic allowed).,Unknown,16015100
US Forest Service,Earthen,,Open to Public use,16015500
US Forest Service,Carry-In,Used as access for shore fishing.,Open to Public use,16015500
US Forest Service,Concrete,,Open to Public use,16015600
DNR,Carry-In,"Logging road grown up, becoming very narrow.",Open to Public use,16015800
US Forest Service,Carry-In,,Open to Public use,16015900
US Forest Service,Carry-In,,Open to Public use,16016000
US Forest Service,Carry-In,,Open to Public use,16016400
DNR,Carry-In,,Open to Public use,16016700
Unknown,Other,NONE,Unknown,16016800
US Forest Service,Portage,,Open to Public use,16017000
US Forest Service,Portage,,Open to Public use,16017000
US Forest Service,Carry-In,,Fee/Permit needed,16017400
Unknown,Other,NONE,Unknown,16017500
Unknown,Other,Accessible via 0.3 mile portage trail from Bower Trout Lake.,Unknown,16017600
Unknown,Other,Accessible via 0.1 mile portage trail from Marshall Lake.,Unknown,16017700
Unknown,Other,Accessible via 0.1 mile river channel from Dugout Lake.,Unknown,16017800
US Forest Service,Gravel,,Open to Public use,16018200
US Forest Service,Carry-In,,Fee/Permit needed,16018400
DNR,Gravel,Steep gravel ramp on east end with parking available for six vehicles and a small camping area.,Open to Public use,16018600
US Forest Service,Portage,,Open to Public use,16018700
US Forest Service,Portage,Portage trail reaches SE shore of Kemo Lake just north of the Kemo Lake outlet.,Open to Public use,16018800
US Forest Service,Carry-In,,Open to Public use,16018800
DNR,Portage,,Open to Public use,16018900
US Forest Service,Carry-In,,Open to Public use,16019100
US Forest Service,Portage,,Open to Public use,16019100
US Forest Service,Carry-In,,Open to Public use,16019200
US Forest Service,Carry-In,"Follow old road across outlet stream, continue north, turn west to access easternmost bay of lake about 70 yd from road.",Open to Public use,16019300
US Forest Service,Carry-In,,Open to Public use,16019400
Unknown,Other,NONE,Unknown,16019500
US Forest Service,Carry-In,,Open to Public use,16019600
County,Carry-In,,Open to Public use,16019800
US Forest Service,Portage,,Open to Public use,16019900
County,Carry-In,,Open to Public use,16020000
US Forest Service,Carry-In,"Poor trail, no parking spot, steep ditch.",Open to Public use,16020200
US Forest Service,Concrete,,Open to Public use,16020400
US Forest Service,Other,Unimproved carry-in trail from Gunflint Trail (Cook Co. Rd. 12). Roadside parking for one or two vehicles.,Unknown,16020500
US Forest Service,Carry-In,NONE,Open to Public use,16020600
US Forest Service,Other,Overland from a snowmobile trail off the Gunflint Trail (Cook Co. Rd. 12).,Unknown,16020800
US Forest Service,Other,Portage trail from Quiver Lake. The N E and SE shores are USFS owned.,Unknown,16020800
Unknown,Other,Accessible via 0.2 mile unmarked trail from Unnamed Lake.,Unknown,16020900
US Forest Service,Portage,,Open to Public use,16021000
Unknown,Other,Accessible via chained BWCA logging trail 1/2 mile west from Fiddle Cr. Rd.,Unknown,16021400
US Forest Service,Carry-In,Entirely within the BWCAW; accessible via a 0.3 mile portage trail from Poplar Lake.,Unknown,16021500
Unknown,Other,NONE,Unknown,16022000
Unknown,Other,NONE,Unknown,16022100
Unknown,Other,NONE,Unknown,16022200
Unknown,Other,NONE,Unknown,16022300
US Forest Service,Portage,,Fee/Permit needed,16022400
US Forest Service,Portage,,Fee/Permit needed,16022500
US Forest Service,Carry-In,From Lima Grade (USFS 152); 1.3 mi N on USFS 152J to overlook; 0.5 mi W on trail through N part of clearcut to E end of lake.,Unknown,16022600
US Forest Service,Carry-In,,Open to Public use,16022700
US Forest Service,Carry-In,,Open to Public use,16022800
DNR,Concrete,,Open to Public use,16022800
Unknown,Other,Accessible via 0.25 mile portage from South Lake and 20 ft. portage from Rose Lake.,Unknown,16022900
Unknown,Other,NONE,Unknown,16023000
US Forest Service,Portage,,Open to Public use,16023100
US Forest Service,Portage,,Fee/Permit needed,16023200
US Forest Service,Carry-In,Portage trails from Rose; Partridge; and Moss Lakes. Lake is entirely within the BWCAW.,Unknown,16023200
US Forest Service,Portage,,Fee/Permit needed,16023300
US Forest Service,Portage,,Fee/Permit needed,16023300
US Forest Service,Portage,,Open to Public use,16023400
US Forest Service,Carry-In,,Open to Public use,16023400
US Forest Service,Carry-In,,Open to Public use,16023500
Unknown,Other,Accessible via 30 rod portage trail from Swan Lake.,Unknown,16023600
US Forest Service,Carry-In,,Open to Public use,16023800
US Forest Service,Carry-In,,Open to Public use,16023800
US Forest Service,Concrete,off Co. Rd 12 to Co. Rd 92 to USFS Rd 561,Open to Public use,16023900
US Forest Service,Other,Entirely inside the BWCAW. Access by portage from Lizz; Meeds; and Horseshoe Lakes.,Unknown,16024000
Unknown,Other,PORTAGE TRAILS FROM CARIBOU VISTA GASKIN and ALLEN LAKES. THIS LAKE IS ENTIRELY WITHIN THE BWCAW.,Unknown,16024100
US Forest Service,Portage,,Fee/Permit needed,16024400
US Forest Service,Portage,,Fee/Permit needed,16024500
Unknown,Other,NONE,Unknown,16024600
US Forest Service,Carry-In,,Open to Public use,16024700
US Forest Service,Carry-In,,Open to Public use,16024800
US Forest Service,Carry-In,,Open to Public use,16025000
Unknown,Other,Road to lake North from FR 161.,Unknown,16025100
County,Gravel,,Open to Public use,16025200
DNR,Concrete,,Open to Public use,16025200
US Forest Service,Carry-In,,Open to Public use,16025300
US Forest Service,Carry-In,,Open to Public use,16025300
Unknown,Other,Accessible by portaging about a mile through open woods from Forestry Road #153.,Unknown,16025600
Unknown,Other,Inaccessible-3 mile from nearest road; via airplane to Eagle Lake then 2 portages from Shrike Lake,Unknown,16025800
US Forest Service,Portage,,Fee/Permit needed,16025900
US Forest Service,Portage,,Fee/Permit needed,16026600
US Forest Service,Other,Portage trails from Brule and Swan Lakes. Vernon Lake is entirely inside the BWCAW.,Unknown,16026700
US Forest Service,Portage,,Fee/Permit needed,16026800
US Forest Service,Carry-In,A 0.2-mile portage trail from the SE corner of a bay on Brule Lake accesses the N shore of Bull Lake.,Unknown,16027000
Unknown,Other,NONE,Unknown,16027100
Unknown,Other,Accessible via 0.1 mile blazed trail from Cow Lake,Unknown,16027400
US Forest Service,Carry-In,This lake is entirely inside the BWCAW. It is accessible by trail from Eagle Lake; or cross-country from the Eagle Mountain Trail.,Unknown,16028700
US Forest Service,Carry-In,,Fee/Permit needed,16028800
US Forest Service,Carry-In,,Fee/Permit needed,16029100
US Forest Service,Carry-In,,Open to Public use,16029700
US Forest Service,Carry-In,Logging road was grown up and nearly impassable.,Open to Public use,16029700
Unknown,Other,Accessible via 0.2 mile portage from logging road on N side of lake.,Unknown,16029800
Unknown,Other,ENTIRE LAKE IS WITHIN BWCA and ACCESSIBLE BY PORTAGE ONLY; 60 RODS FROM ONE ISLAND 10 FROM BANADAD,Unknown,16029900
Unknown,Other,Accessible from logging road on N side of lake.,Unknown,16030000
Unknown,Other,NONE,Unknown,16030300
Unknown,Other,IN B.W.C.A.. and ACCESSIBLE BY PORTAGE ONLY 321 RODS FROM POPLAR LAKE AND 25 RODS FROM LITTLE RUSH LAKE,Unknown,16030400
US Forest Service,Other,Entirely inside the BWCAW. Access by portage from Caribou and Poplar Lakes.,Unknown,16030700
US Forest Service,Portage,,Open to Public use,16030800
US Forest Service,Other,Lake is entirely inside the BWCAW. Access via portage trails from Gaskin; Pillsbery; East Otto; and Flicker Lakes.,Unknown,16031400
US Forest Service,Portage,,Fee/Permit needed,16031900
US Forest Service,Other,Lake is entirely inside the BWCAW. Access by portage trails from Horseshoe; Jump; and Pillsbery Lakes.,Unknown,16032000
US Forest Service,Portage,,Open to Public use,16032700
US Forest Service,Carry-In,,Open to Public use,16032700
DNR,Other,,Open to Public use,16032800
US Forest Service,Carry-In,,Open to Public use,16032800
US Forest Service,Carry-In,,Open to Public use,16032800
Unknown,Other,Accessible via rail portage from Little Gunflint L,Unknown,16032900
DNR,Other,,Open to Public use,16033000
DNR,Channel,Navigable waterway from Gunflint Lake; USFS-owned public access on Gunflint Lake.,Open to Public use,16033100
US Forest Service,Other,Carry-in on an old logging road through the BWCAW; from the Mayhew Lake access road; or portage from Dunn or South Lakes. Inside the BWCAW.,Unknown,16033500
US Forest Service,Carry-In,,Fee/Permit needed,16033600
US Forest Service,Carry-In,,Fee/Permit needed,16033600
US Forest Service,Carry-In,,Open to Public use,16033700
US Forest Service,Portage,,Fee/Permit needed,16033800
US Forest Service,Portage,,Open to Public use,16033900
US Forest Service,Carry-In,Trail south from Gunflint Tr. to small bay on mid-N shore. Detailed descr. in Field Notes of 2004 assessment. Limited roadside parking.,Unknown,16034100
US Forest Service,Carry-In,"On lake, look for sweetgale stand between ledgerock outcrops, at 4-in DBH cedar.",Open to Public use,16034200
US Forest Service,Carry-In,"Lightly used. On lake, 30 ft right of flat 6-ft boulder, the middle of a group of three.",Open to Public use,16034200
US Forest Service,Carry-In,,Open to Public use,16034300
DNR,Other,Public access on Caribou Lake; access Bigsby Lake via navigable (but shallow; rocky; and weedy) channel.,Open to Public use,16034400
US Forest Service,Carry-In,,Open to Public use,16034500
US Forest Service,Gravel,,Open to Public use,16034600
US Forest Service,Carry-In,,Open to Public use,16034700
DNR,Carry-In,"Informal access with rough road, limited turning space, and parking for two vehicles.",Open to Public use,16034700
US Forest Service,Concrete,Brule Lake is entirely inside the BWCAW; and is closed to motorized use. Parking available at the access for 20 vehicles.,Open to Public use,16034800
US Forest Service,Carry-In,Portage trails from numerous BWCAW lakes; including S. Temperance; Vernon; Echo; S. Cone; Cam; Juno; and Lily Lakes.,Unknown,16034800
Unknown,Other,NONE,Unknown,16035000
US Forest Service,Portage,,Fee/Permit needed,16035400
US Forest Service,Carry-In,,Open to Public use,16035500
DNR,Other,,Open to Public use,16035500
US Forest Service,Concrete,,Open to Public use,16035600
US Forest Service,Portage,,Open to Public use,16035700
US Forest Service,Portage,,Open to Public use,16035700
US Forest Service,Carry-In,,Open to Public use,16035700
US Forest Service,Carry-In,,Open to Public use,16035800
US Forest Service,Carry-In,,Open to Public use,16035900
DNR,Concrete,Parking available for about six vehicles.,Open to Public use,16036000
Unknown,Other,NONE,Unknown,16036100
US Forest Service,Carry-In,,Open to Public use,16036200
Unknown,Other,Accessible via 20 rod portage from Slip Lake.,Unknown,16036300
Unknown,Other,Accessible via 0.25 mile portage from Silver Lake.,Unknown,16036400
US Forest Service,Gravel,,Open to Public use,16036500
US Forest Service,Gravel,,Open to Public use,16036600
US Forest Service,Portage,,Open to Public use,16036800
DNR,Carry-In,,Open to Public use,16036800
US Forest Service,Concrete,,Open to Public use,16036900
US Forest Service,Carry-In,,Open to Public use,16037000
DNR,Gravel,Gravel ramp in Sec. 29; with parking for five vehicles. Access at end of rough road off F.R. 164.,Open to Public use,16037300
US Forest Service,Carry-In,,Open to Public use,16037400
Unknown,Other,Accessible via 0.1 mile portage from East Pipe Lake.,Unknown,16037500
Unknown,Other,Accessible via shallow flowage from West Pipe Lake,Unknown,16037600
Unknown,Other,Accessible via 0.4 mile blazed trail North through woods from Kinogami Lake.,Unknown,16037700
US Forest Service,Carry-In,,Fee/Permit needed,16037800
US Forest Service,Carry-In,Steep gravel trough in road bank - the result of gully erosion.,Open to Public use,16038000
DNR,Carry-In,,Open to Public use,16038100
US Forest Service,Carry-In,,Open to Public use,16038200
US Forest Service,Channel,,Open to Public use,16038300
US Forest Service,Carry-In,Boulders block vehicle use.,Open to Public use,16038300
US Forest Service,Concrete,,Open to Public use,16038400
Unknown,Other,Accessible via 20 rod portage from Crescent Lake.,Unknown,16038500
US Forest Service,Portage,,Fee/Permit needed,16038600
Unknown,Other,Accessible via 0.2 mile portage from Pipe Lake.,Unknown,16038700
US Forest Service,Other,A 0.12 mile portage from Lily Lake to the south shore of Mulligan Lake.,Unknown,16038900
US Forest Service,Carry-In,Lake is entirely inside the BWCAW. Access by portage trails from South Cone Lake (15 rods) and North Cone Lake.,Unknown,16039100
Unknown,Other,NONE,Unknown,16039300
US Forest Service,Other,A 0.35 mile portage trail from Brule Lake provides access to Cam Lake. Entirely inside the BWCAW.,Unknown,16039700
US Forest Service,Portage,,Fee/Permit needed,16039800
Unknown,Other,A 0.1 mile portage from Brule Lake to the Southern tip of Lily Lake.,Unknown,16040000
US Forest Service,Portage,,Fee/Permit needed,16040200
US Forest Service,Portage,,Fee/Permit needed,16040300
US Forest Service,Carry-In,,Open to Public use,16040500
US Forest Service,Concrete,,Open to Public use,16040600
US Forest Service,Portage,,Fee/Permit needed,16040600
US Forest Service,Carry-In,Portage trail from Homer Lake. Lake is outside the BWCAW.,Unknown,16040700
Unknown,Other,Accessible via 0.4 mile unmarked trail from Homer Lake.,Unknown,16040800
US Forest Service,Portage,,Fee/Permit needed,16040900
DNR,Channel,,Open to Public use,16040900
US Forest Service,Portage,,Fee/Permit needed,16041000
US Forest Service,Carry-In,Lake is entirely inside the BWCAW. Access by portage trails from Middle Cone; Davis; and Cliff Lakes.,Unknown,16041200
County,Portage,Trail shows some use.,Open to Public use,16041700
US Forest Service,Carry-In,,Fee/Permit needed,16041700
Unknown,Other,NONE,Unknown,16041800
US Forest Service,Other,Entirely inside the BWCAW. Portage trails from Davis; Omega; and Muskeg Lakes.,Unknown,16042800
US Forest Service,Carry-In,Lake is entirely inside the BWCAW. Access by portage trail from Pup; Kiskadinna; and North Cone Lakes.,Unknown,16043500
Unknown,Other,PORTAGE TRAILS FROM TOWN AND GUNSTOCK LAKES. CASH LAKE IS ENTIRELY WITHIN THE BWCAW.,Unknown,16043800
US Forest Service,Concrete,,Open to Public use,16044800
DNR,Earthen,,Open to Public use,16044800
US Forest Service,Carry-In,,Open to Public use,16045000
US Forest Service,Carry-In,,Open to Public use,16045100
Unknown,Other,Accessible via navigable channel from Rice Lake.,Unknown,16045200
US Forest Service,Gravel,,Open to Public use,16045300
US Forest Service,Carry-In,,Open to Public use,16045300
US Forest Service,Concrete,,Open to Public use,16045400
Unknown,Other,Accessible via portaging 0.3 mile through woods from Tobacco Lake. There is no marked/cleared portage,Unknown,16045500
Unknown,Other,PORTAGE TRAILS FORM SOUTH TEMPERANCE and SITKA LAKE ENTIRE LAKE IS WITHIN THE BWCAW.,Unknown,16045600
Unknown,Other,NONE,Unknown,16045700
Unknown,Other,PORTAGE TRAILS FROM VESPER CASH AND CHEROKEE LAKES. TOWN LAKE IS ENTIRELY WITHIN THE BWCAW.,Unknown,16045800
Unknown,Other,Rib Lake Trail ~foot path~ from Gunflint Trail.,Unknown,16045900
US Forest Service,Portage,,Fee/Permit needed,16046000
US Forest Service,Carry-In,Entirely inside the BWCAW. Accessible by portage trail from Lower George Lake and by navigable channel from Long Island Lake.,Unknown,16046100
Unknown,Other,BOAT CHANNEL FROM GUNFLINT LAKE PORTAGE TRAIL FROM PINE RIVER. MAGNETIC LAKE IS A MN-ONTARIO,Unknown,16046300
Unknown,Other,A 0.4 mile portage trail provides access to the U.N.E. bay of Iowa Lake.,Unknown,16046700
US Forest Service,Carry-In,A 0.2 mile portage South from logging road running E. from Marsh Lake Road.,Open to Public use,16047000
US Forest Service,Carry-In,Accessible via 30 rod portage from Rice Lake Road.,Unknown,16047300
US Forest Service,Carry-In,,Open to Public use,16047400
US Forest Service,Carry-In,,Open to Public use,16047500
US Forest Service,Carry-In,Entirely in BWCAW. Three-rod portage from N end of Peterson Lake.,Unknown,16047600
Unknown,Other,PORTAGE TRAILS ACROSS USFS LAND FROM SMOKE AND KELLY LAKES. BURNT LAKE IS ENTIRELY INSIDE BWCAW.,Unknown,16047700
US Forest Service,Other,Short portage trails from Baker and Kelly Lakes. Peterson Lake lies entirely inside the BWCAW.,Unknown,16047800
DNR,Carry-In,Long carry-in trail across state land off end of old logging road off The Grade (USFS 165) just west of Crescent Lake. Entirely in BWCAW.,Fee/Permit needed,16048300
Unknown,Other,Accessible via 0.3 mile unmarked portage from logging rd. 1.5 mile N from F.R. 165.,Unknown,16048400
US Forest Service,Gravel,,Open to Public use,16048600
US Forest Service,Carry-In,,Open to Public use,16048800
US Forest Service,Carry-In,,Open to Public use,16048900
Unknown,Other,150 ft. portage from Temperance River Lake.,Unknown,16049100
Unknown,Other,Via 1/4 mile portage from Marsh Lake.,Unknown,16049200
Unknown,Other,Portage to Temperance River Lake from Marsh Lake portage to Pagola.,Unknown,16049300
Unknown,Other,Accessible via 68 rod ~0.21 mi.~ portage trail from Burnt Lake.,Unknown,16049400
US Forest Service,Carry-In,,Open to Public use,16049600
US Forest Service,Portage,0.2 mile portage from Ada Creek,Fee/Permit needed,16051500
Unknown,Other,Accessible via 0.3 mile portage from restricted BWCA logging road.,Unknown,16051800
US Forest Service,Portage,,Fee/Permit needed,16052000
Unknown,Other,Accessible via 0.2 mile portage trail from Kelly L,Unknown,16052100
Unknown,Other,Accessible via Java Creek from Sawbill Lake.,Unknown,16052200
US Forest Service,Portage,,Fee/Permit needed,16052400
Unknown,Other,NONE,Unknown,16052700
US Forest Service,Portage,,Fee/Permit needed,16052800
US Forest Service,Other,Portage trails from Round; Snipe; Mavis; and Contest Lakes. Entirely inside the BWCAW.,Unknown,16052900
US Forest Service,Portage,,Fee/Permit needed,16052900
Unknown,Other,NONE,Unknown,16053200
Unknown,Other,NONE HOWEVER THIS LAKE LIES ENTIRELY WITHIN THE BWCAW.,Unknown,16053800
US Forest Service,Other,Entirely inside the BWCAW. Access by portage trail from the Long Island River; Cherokee Lake; and Unload Lake.,Unknown,16056900
US Forest Service,Other,Entire lake is inside the BWCAW. Access by portage trails from Gordon Lake and the Frost River flowage.,Unknown,16057100
Unknown,Other,Accessible via vehicle from Canada and portages from Clove Lake and Granite Bay.,Unknown,16058000
Unknown,Other,Accessible via 0.35 mile portage from Pine River or 0.15 mile portage from Granite Lake.,Unknown,16058100
US Forest Service,Carry-In,Accessible via 0.1 mile portage from Clove Lake; or via Larch Creek from the Gunflint Trail. Lake is entirely within the BWCAW.,Unknown,16058200
US Forest Service,Portage,,Open to Public use,16058300
Unknown,Other,Accessible via 0.3 mile blazed portage trail from Pine River.,Unknown,16058600
Unknown,Other,Accessible via very difficult 1/4 mile portage from East Kerfoot Lake.,Unknown,16058700
US Forest Service,Carry-In,,Open to Public use,16059700
US Forest Service,Portage,Bushwhack portage from Gotter Lake. Lake is inside the BWCAW.,Fee/Permit needed,16059900
Unknown,Other,Accessible via 3 portages ~1/2 mile~ from Round Lake,Unknown,16060000
Unknown,Other,NONE,Unknown,16060100
Unknown,Other,Portage to Brandt Lake on W; Portage to Ron Lake on E.,Unknown,16060400
Unknown,Other,1/4 mile portage from Round Lake; 1/8 mile portage west. to Edith Lake.,Unknown,16060500
US Forest Service,Carry-In,,Open to Public use,16060600
US Forest Service,Carry-In,Rough carry-in trail off Forest Road 1344; off Gunflint Trail (County Road 12).,Unknown,16060800
US Forest Service,Other,Portage from Cross River; with carry-down access off County Road 47. Parking available for several vehicles.,Open to Public use,16060800
US Forest Service,Carry-In,Portage trail access from Saganaga Lake. Lake is entirely inside the BWCAW.,Unknown,16060900
US Forest Service,Other,Portage from Saganaga Lake. The Minnesota sde of the lake is entirely inside the BWCAW.,Unknown,16061000
DNR,Channel,Navigable channel from Devils Elbow Lake.,Open to Public use,16061000
Unknown,Other,1/4 mile on unmarked portage from Maraboeuf Lake.,Unknown,16061100
Unknown,Other,Poor-No marked portage trails.,Unknown,16061200
Unknown,Other,A 5 rod portage to the North shore of Tenor Lake from Saganaga Lake.,Unknown,16061300
Unknown,Other,Poor-No marked portage trail.,Unknown,16061500
DNR,Carry-In,Accessible via canoe from Maraboeuf and Gneiss Lakes. Minnesota side of the lake is entirely within the BWCAW.,Open to Public use,16061600
DNR,Carry-In,Accessible via canoe from Devils Elbow Lake; and 0.2 mile portage from Granite Lake. Minnesota side in BWCAW.,Open to Public use,16061700
US Forest Service,Carry-In,,Open to Public use,16061800
Unknown,Other,1/4 mile portage from Granite River.,Unknown,16062100
US Forest Service,Portage,30 rod portage from Sawbill Lake,Fee/Permit needed,16062200
US Forest Service,Portage,10 rod portage from Kelso Lake,Fee/Permit needed,16062200
US Forest Service,Portage,120 rod portage from Beth Lake,Fee/Permit needed,16062200
US Forest Service,Portage,220 rod portage from Wonder Lake,Fee/Permit needed,16062200
US Forest Service,Carry-In,Lake is entirely inside the BWCAW. Access by portage trail from Missing Link; Owl; and Howl Lakes.,Unknown,16062300
US Forest Service,Other,Inside the BWCAW. Access via portage trails from Sea Gull or Glossy Lakes.,Unknown,16062600
US Forest Service,Portage,,Fee/Permit needed,16062700
US Forest Service,Carry-In,,Fee/Permit needed,16062700
US Forest Service,Other,Entirely inside the BWCAW. Access by portage from Bat and Flying Lakes.,Unknown,16062800
US Forest Service,Concrete,No permit is required to use the non-BWCAW portion of the lake.,Open to Public use,16062900
US Forest Service,Portage,,Fee/Permit needed,16062900
US Forest Service,Concrete,,Open to Public use,16063200
US Forest Service,Concrete,,Fee/Permit needed,16063300
County,Concrete,,Fee/Permit needed,16063300
US Forest Service,Channel,,Fee/Permit needed,16063300
County,Gravel,,Open to Public use,16063400
US Forest Service,Carry-In,,Open to Public use,16063600
US Forest Service,Portage,,Open to Public use,16063700
US Forest Service,Carry-In,,Open to Public use,16063700
US Forest Service,Concrete,,Open to Public use,16063900
US Forest Service,Carry-In,Very shallow and mucky.,Open to Public use,16063900
US Forest Service,Carry-In,2;200 ft. east of USFS Rd 344 on unimproved trail to northwest end of the lake. This is not a designated public access.,Unknown,16064000
US Forest Service,Earthen,SW end of lake off of USFS Rd. #346. Small trailer in access for light boats and trailers.,Open to Public use,16064300
Unknown,Other,NONE,Unknown,16064400
US Forest Service,Gravel,,Open to Public use,16064500
US Forest Service,Portage,30 rod portage from Elbow Lake,Open to Public use,16064600
Private Property,Earthen,A 0.7 mile access road from USFS Rd. #347 to the Cross River. Carry-in access to Cross River downstream of Finger Lake. Then a trip of 0.4 mile on the Cross River upstream to Finger Lake.,Open to Public use,16064600
US Forest Service,Carry-In,Trail terminates at north side of Big Snow Lake,Open to Public use,16064700
US Forest Service,Carry-In,,Open to Public use,16064700
US Forest Service,Portage,,Open to Public use,16065100
US Forest Service,Carry-In,A 0.1 mile foot path from end of logging road to north shore of Big Snow Lake; then across Big Snow Lake to trail on west shore of south bay; then 0.25 mile over the divide between Big and Little Snow Lakes to the northeast shore of Little Snow Lake.,Open to Public use,16065100
Unknown,Other,ACCESSIBLE BY A 2000 FT HIKE FROM THE WEST END OF HOG LAKE OR A 1000 FT HIKE FROM LITTLE SNOW LAKE,Unknown,16065200
US Forest Service,Carry-In,A logging road provided access to a short trail on the southeast end of Hog Lake. This road is now impassable; restricting access to foot; ATV or bike.,Unknown,16065300
US Forest Service,Portage,40 rod portage from Elbow Lake,Open to Public use,16065400
US Forest Service,Portage,60 rod portage from Frear Lake,Open to Public use,16065400
US Forest Service,Carry-In,On USFS Rd. 170 go 0.8 mile east of Toohey L. access; then 0.6 mile south on logging road; then northeast 180 yards on trail to the lake.,Unknown,16065500
US Forest Service,Carry-In,,Fee/Permit needed,16065700
US Forest Service,Carry-In,,Fee/Permit needed,16065700
